tname,video_count,avg_view,avg_like,pos_rate
鬼畜,967,9394268.98,0.0,1.0
三农,136,3670249.31,296298.02,1.0
动画,845,9484697.2,0.0,1.0
教育,998,5104586.69,0.0,1.0
模玩·周边,51,3063880.63,253854.61,1.0
娱乐杂谈,53,5299742.79,248824.77,1.0
健身,110,5413178.95,239685.61,1.0
综艺,68,5842359.82,261386.62,1.0
人工智能,969,1877830.76,0.0,1.0
美食,997,9730735.58,0.0,1.0
动物二创,74,6844927.93,416254.14,1.0
人力VOCALOID,99,7627909.03,523575.86,1.0
影视剪辑,238,7028596.45,454131.5,1.0
极客DIY,115,8233509.47,605672.6,1.0
小剧场,218,5819575.41,400585.11,1.0
热点,61,4702266.2,359493.43,1.0
编程,924,1807606.65,0.0,1.0
运动综合,90,4733275.54,331013.91,1.0
动漫,917,6781084.55,0.0,1.0
科技,990,5295781.09,0.0,1.0
配音,66,6253902.67,508295.03,1.0
软件应用,53,4635151.21,279030.53,1.0
家居房产,64,5649995.34,307945.22,1.0
仿妆cos,136,3414649.71,266450.32,1.0
游戏,945,11048006.0,0.0,1.0
明星综合,96,6048797.09,318615.18,1.0
出行,401,4460220.74,255769.81,1.0
乐评盘点,76,2761384.0,158954.67,1.0
短片,83,5451724.07,428630.37,1.0
鬼畜调教,266,9767424.54,629559.19,1.0
动漫杂谈,251,4627213.26,297986.81,1.0
鬼畜剧场,202,5639986.65,404500.86,1.0
数码,295,4407808.11,273411.38,1.0
影视杂谈,518,3969567.12,207351.13,1.0
音乐,990,9877959.22,0.0,1.0
网络安全,980,554602.33,0.0,1.0
喵星人,102,6335996.12,444923.32,1.0
日常,946,4473090.78,343326.57,0.907
搞笑,1951,5676952.87,348677.37,0.7191
手机游戏,1103,3501564.75,188492.9,0.6963
单机游戏,1381,4273980.76,244942.01,0.6828
运动,1736,3658252.45,69.61,0.568
同人·手书,1202,2499219.91,186375.68,0.48
科学科普,969,2450136.65,156667.15,0.4654
人文历史,970,2473199.85,131586.54,0.4443
美食制作,1110,2501834.03,164890.25,0.4117
电子竞技,964,1602284.55,82494.26,0.3838
综合,777,1783441.03,125094.88,0.3642
美食测评,275,1919200.28,105895.97,0.36
手工,878,1883909.09,144551.72,0.3428
社科·法律·心理,847,1274830.52,93852.94,0.3176
网络游戏,639,1130620.56,62697.76,0.3067
美食侦探,982,1744000.55,96599.88,0.2974
翻唱,736,1826584.65,119004.93,0.2962
原创音乐,918,1447204.65,96636.05,0.268
财经商业,635,831255.68,41520.18,0.2457
美妆护肤,536,657647.72,49588.6,0.2146
绘画,747,1028638.78,98022.96,0.2062
MAD·AMV,771,1484775.6,97768.18,0.1946
校园学习,454,827841.56,63975.89,0.1938
演奏,741,1058695.85,83379.83,0.1849
MV,807,1329330.78,62568.29,0.1846
时尚潮流,350,646949.3,62094.16,0.18
音乐综合,541,1081396.76,67992.77,0.1719
音乐现场,490,1044423.74,55549.99,0.1571
汽车生活,624,459519.32,23382.16,0.1362
穿搭,621,356820.12,25277.53,0.1353
美食记录,706,589532.56,42647.84,0.1331
桌游棋牌,692,1002827.29,42266.85,0.1257
宅舞,817,509508.71,35935.98,0.1016
特摄,759,405463.66,22394.95,0.0962
VOCALOID·UTAU,793,470144.12,27518.83,0.0946
MMD·3D,794,369426.32,31503.63,0.0907
野生技能协会,728,494310.37,34364.13,0.0852
舞蹈综合,658,550733.43,41151.14,0.079
设计·创意,332,221401.05,20440.58,0.0753
田园美食,720,317258.04,20895.29,0.0694
GMV,750,212360.78,14856.47,0.0493
国风舞蹈,750,177439.61,12459.44,0.044
明星舞蹈,716,241683.66,16452.89,0.0419
职业职场,480,88750.72,6870.43,0.0292
计算机技术,659,90310.85,4606.72,0.0258
动物综合,698,87027.63,5483.79,0.0158
街舞,732,65941.33,5742.64,0.015
音游,671,56597.64,4593.19,0.0075
购车攻略,709,3478.06,302.2,0.0014
资讯,737,6122.2,228.29,0.0014
完结动画,750,216877.55,1140.71,0.0
舞蹈教程,609,611.38,26.36,0.0
官方延伸,747,878.12,70.83,0.0
演讲• 公开课,94,3516.17,53.18,0.0
连载动画,750,1074903.26,10414.73,0.0
Mugen,686,377.47,12.17,0.0
其他,650,238.86,14.0,0.0
