up,total_appearances,avg_best_rank,max_single_view
,11508,1.0,121067548
哔哩哔哩番剧,1084,99.91,13742933
knnstack,643,100.0,14632
动画纪,355,100.0,15044132
神兵小将东方铁心,233,100.0,176
____轩,225,99.63,3673008
老番茄,168,4.82,33479833
Aisua,166,100.0,1698
小潮院长,152,2.2,40360703
盗月社食遇记,131,11.52,22156876
小约翰可汗,124,7.28,17498965
原神,122,4.5,37405087
凉风Kaze,118,8.8,13529442
泛式,108,7.2,14853550
VOCALOIDの生放送,104,100.0,1498
绵羊料理,103,4.72,19245306
影视飓风,98,9.5,15337562
听风的蚕军事,87,100.0,184800
罗翔说刑法,85,17.93,25250449
染小莫xz,83,100.0,26743
